x0_1;x0_2;x1_out;x2_out;norm_out;y_out;f_calls_out;x1_in;x2_in;norm_in;y_in;f_calls_in
73 ;3,41974 ;3,91475 ;2,93758 ;3,38083 ;4,47877 ;-0,21721;  217 ;2,36782 ;2,36399 ;3,34589 ;46,6532;  109 
74 ;2,56632 ;4,07491 ;3,2707 ;3,03927 ;4,46482 ;-0,217144;  164 ;2,32633 ;2,38516 ;3,33179 ;9,29034;  156 
75 ;3,53937 ;2,03273 ;3,38078 ;2,94715 ;4,48502 ;-0,217226;  156 ;2,41476 ;2,1373 ;3,22477 ;9,47167;  158 
76 ;3,32012 ;4,87205 ;3,32546 ;2,98875 ;4,47116 ;-0,21718;  156 ;2,31994 ;2,38712 ;3,32874 ;9,29268;  152 
77 ;2,82475 ;2,5922 ;3,35774 ;2,98603 ;4,49341 ;-0,217234;  156 ;2,35932 ;2,37409 ;3,34704 ;9,28203;  156 
78 ;4,05916 ;2,41055 ;3,38984 ;2,93434 ;4,48346 ;-0,217223;  158 ;2,37427 ;2,35764 ;3,34598 ;9,28237;  160 
79 ;1,91823 ;5,25378 ;3,00729 ;3,32167 ;4,48077 ;-0,217216;  160 ;2,31803 ;2,38736 ;3,32758 ;9,29348;  156 
80 ;3,03752 ;4,21944 ;2,03995 ;3,97184 ;4,46507 ;-0,217146;  113 ;2,3287 ;2,38457 ;3,33302 ;9,28951;  148 
81 ;5,36132 ;5,01244 ;3,38782 ;2,90332 ;4,46168 ;-0,217124;  219 ;2,38186 ;2,33679 ;3,33674 ;9,28702;  166 
82 ;3,41278 ;2,39859 ;3,23666 ;3,09267 ;4,47666 ;-0,217203;  158 ;2,39942 ;2,35775 ;3,36395 ;1,80363;  209 
83 ;2,13552 ;5,07311 ;3,0701 ;3,24724 ;4,46879 ;-0,217168;  107 ;2,32207 ;2,38661 ;3,32985 ;9,29185;  152 
84 ;3,11846 ;2,50027 ;3,0963 ;3,24601 ;4,48594 ;-0,217228;  156 ;2,32384 ;2,3943 ;3,3366 ;1,81155;  205 
85 ;3,52533 ;1,76527 ;3,90288 ;2,10116 ;4,43253 ;-0,216827;  105 ;2,33304 ;2,39288 ;3,342 ;1,80972;  203 
86 ;4,6218 ;4,7584 ;3,5442 ;2,76165 ;4,49311 ;-0,217234;  163 ;2,36163 ;2,36887 ;3,34497 ;46,6536;  109 
87 ;3,9239 ;4,62156 ;2,96321 ;3,30233 ;4,43689 ;-0,216884;  162 ;2,33208 ;2,38334 ;3,3345 ;9,28844;  152 
88 ;3,18657 ;1,79664 ;3,18795 ;3,14733 ;4,47981 ;-0,217214;  209 ;2,41449 ;2,17079 ;3,24686 ;9,42088;  158 
89 ;4,21175 ;4,74473 ;3,36594 ;2,95874 ;4,48149 ;-0,217218;  112 ;2,3226 ;2,38642 ;3,33008 ;9,29166;  148 
90 ;2,27114 ;2,93815 ;3,1253 ;3,21958 ;4,487 ;-0,217229;  156 ;2,29603 ;2,39314 ;3,31645 ;9,30373;  146 
91 ;3,32867 ;2,59049 ;2,98445 ;3,34948 ;4,4862 ;-0,217228;  158 ;2,33585 ;2,39267 ;3,34381 ;1,80914;  205 
92 ;2,68253 ;5,23998 ;2,95114 ;3,36343 ;4,47458 ;-0,217195;  209 ;2,32499 ;2,3855 ;3,33109 ;9,29082;  152 
93 ;1,66724 ;4,28793 ;1,45886 ;4,20838 ;4,45407 ;-0,217065;  109 ;2,31991 ;2,38696 ;3,32859 ;9,29272;  154 
94 ;2,11428 ;5,3811 ;2,96324 ;3,34981 ;4,47236 ;-0,217185;  160 ;2,32711 ;2,38477 ;3,33205 ;9,29009;  156 
95 ;1,91139 ;1,62366 ;2,06764 ;3,96741 ;4,47387 ;-0,217192;  106 ;2,26818 ;2,21991 ;3,17375 ;47,3106;  99 
96 ;3,69196 ;4,52609 ;2,96644 ;3,34341 ;4,4697 ;-0,217172;  110 ;2,33994 ;2,38092 ;3,33828 ;9,28613;  156 
97 ;2,94426 ;4,81687 ;3,02775 ;3,28608 ;4,46829 ;-0,217165;  213 ;2,32113 ;2,38651 ;3,32912 ;9,29227;  156 
98 ;2,15102 ;4,29025 ;2,87714 ;3,3765 ;4,43606 ;-0,216873;  164 ;2,32934 ;2,38431 ;3,33328 ;9,2893;  156 
99 ;4,45309 ;3,20647 ;3,49691 ;2,80863 ;4,48517 ;-0,217226;  162 ;2,39903 ;2,27551 ;3,30656 ;9,31573;  156 
100 ;2,27358 ;1,93178 ;3,50179 ;2,80958 ;4,48957 ;-0,217232;  158 ;2,16401 ;2,37419 ;3,21243 ;47,3272;  101 
1 ;1,85292 ;2,97856 ;2,52905 ;3,71418 ;4,49347 ;-0,217234;  152 ;2,43288 ;2,6678 ;3,61055 ;7,9436;  152 
2 ;2,2062 ;2,89494 ;2,99704 ;3,3479 ;4,49341 ;-0,217234;  150 ;2,45506 ;2,65969 ;3,61957 ;7,92968;  152 
3 ;5,15685 ;5,05748 ;3,29334 ;3,05688 ;4,49339 ;-0,217234;  106 ;2,60743 ;2,54073 ;3,6406 ;40,0041;  105 
4 ;4,28756 ;2,83012 ;3,22184 ;3,13217 ;4,49341 ;-0,217234;  154 ;2,56525 ;2,60473 ;3,65583 ;39,9852;  107 
5 ;5,41516 ;4,28573 ;3,17061 ;3,18394 ;4,49336 ;-0,217234;  106 ;2,5334 ;2,59453 ;3,62625 ;7,90042;  158 
6 ;2,0071 ;5,21581 ;2,66468 ;3,61809 ;4,49345 ;-0,217234;  160 ;2,50787 ;2,62455 ;3,63011 ;40,0452;  107 
7 ;2,35122 ;5,01866 ;2,70754 ;3,5861 ;4,49342 ;-0,217234;  107 ;2,53131 ;2,62452 ;3,64632 ;40,0139;  107 
8 ;1,72327 ;2,70597 ;3,32272 ;3,02498 ;4,49343 ;-0,217234;  152 ;2,55195 ;2,61781 ;3,65587 ;7,89123;  154 
9 ;4,81712 ;2,25723 ;4,32252 ;1,22704 ;4,49331 ;-0,217234;  114 ;2,62088 ;2,53735 ;3,6479 ;7,89509;  158 
10 ;3,7624 ;4,33053 ;2,95522 ;3,38485 ;4,49339 ;-0,217234;  105 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
11 ;1,69373 ;3,44623 ;1,82496 ;4,10602 ;4,49332 ;-0,217234;  105 ;2,83638 ;3,485 ;4,49336 ;-0,217228;  601 
12 ;1,52771 ;4,67136 ;2,06591 ;3,98327 ;4,48715 ;-0,217229;  107 ;2,8584 ;3,4669 ;4,49331 ;-0,217228;  613 
13 ;2,86296 ;4,0594 ;3,39921 ;2,93874 ;4,49342 ;-0,217234;  105 ;2,89871 ;3,43335 ;4,49338 ;-0,217228;  607 
14 ;3,23943 ;5,13976 ;2,47599 ;3,74969 ;4,49341 ;-0,217234;  158 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  158 
15 ;3,87349 ;4,10128 ;2,90694 ;3,42636 ;4,49336 ;-0,217234;  103 ;2,50707 ;2,62429 ;3,62937 ;40,0465;  107 
16 ;2,93352 ;3,48151 ;2,88662 ;3,4436 ;4,49343 ;-0,217234;  97 ;2,4414 ;2,66474 ;3,61403 ;7,93803;  152 
17 ;1,92763 ;2,64566 ;3,12559 ;3,22819 ;4,49338 ;-0,217234;  152 ;2,574 ;2,60656 ;3,66328 ;7,88745;  150 
18 ;5,34313 ;1,63221 ;4,0628 ;1,9194 ;4,49338 ;-0,217234;  113 ;2,60696 ;2,47988 ;3,59807 ;40,1039;  107 
19 ;4,81419 ;1,54004 ;3,8966 ;2,2376 ;4,49337 ;-0,217234;  111 ;2,53864 ;2,59429 ;3,62974 ;7,8986;  156 
20 ;3,28716 ;4,05037 ;3,19478 ;3,15983 ;4,49346 ;-0,217234;  159 ;2,47749 ;2,60304 ;3,59357 ;40,1117;  107 
21 ;4,40988 ;3,39801 ;3,38266 ;2,95775 ;4,49341 ;-0,217234;  158 ;2,55636 ;2,60946 ;3,65298 ;39,9906;  107 
22 ;4,19332 ;4,65098 ;3,31461 ;3,03377 ;4,49337 ;-0,217234;  107 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
23 ;4,37777 ;3,00529 ;3,46799 ;2,85725 ;4,49342 ;-0,217234;  159 ;2,56423 ;2,60513 ;3,6554 ;39,9858;  107 
24 ;4,3768 ;2,46634 ;3,1027 ;3,25025 ;4,49343 ;-0,217234;  105 ;2,59801 ;2,58358 ;3,66395 ;39,9785;  103 
25 ;1,68519 ;5,26696 ;1,90993 ;4,06726 ;4,49338 ;-0,217234;  109 ;2,48968 ;2,61644 ;3,61169 ;40,0791;  107 
26 ;3,70368 ;4,15853 ;3,05266 ;3,29728 ;4,49342 ;-0,217234;  107 ;2,49748 ;2,62093 ;3,62032 ;40,0632;  107 
27 ;3,5672 ;4,81602 ;2,88535 ;3,44458 ;4,49337 ;-0,217234;  105 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
28 ;3,2608 ;1,50769 ;3,70359 ;2,54457 ;4,49348 ;-0,217234;  103 ;2,6302 ;2,51377 ;3,63826 ;7,90256;  156 
29 ;3,56 ;4,41281 ;2,78513 ;3,52615 ;4,49341 ;-0,217234;  107 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
30 ;2,65922 ;2,0027 ;3,06557 ;3,28529 ;4,49342 ;-0,217234;  101 ;2,4652 ;2,58715 ;3,57359 ;40,1553;  101 
31 ;2,22988 ;3,25835 ;2,39725 ;3,80055 ;4,49344 ;-0,217234;  101 ;2,86779 ;3,45924 ;4,49339 ;-0,217228;  597 
32 ;3,59552 ;4,65806 ;2,89739 ;3,4346 ;4,49348 ;-0,217234;  101 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
33 ;4,22323 ;4,34579 ;3,34057 ;3,00533 ;4,49348 ;-0,217234;  105 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
34 ;4,29501 ;3,18206 ;3,67315 ;2,58819 ;4,49341 ;-0,217234;  166 ;2,55056 ;2,6123 ;3,65095 ;39,9949;  107 
35 ;5,26037 ;3,97688 ;3,14764 ;3,20672 ;4,49341 ;-0,217234;  105 ;2,8357 ;3,48564 ;4,49342 ;-0,217228;  607 
36 ;3,46381 ;4,62241 ;2,77696 ;3,5326 ;4,49341 ;-0,217234;  107 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
37 ;4,70078 ;4,56699 ;2,81626 ;3,50157 ;4,49358 ;-0,217234;  108 ;2,53213 ;2,59431 ;3,6252 ;7,90093;  154 
38 ;2,37332 ;1,61182 ;3,13744 ;3,21682 ;4,49349 ;-0,217234;  100 ;2,89635 ;3,43535 ;4,49338 ;-0,217228;  603 
39 ;5,30358 ;1,86427 ;3,61285 ;2,67168 ;4,4934 ;-0,217234;  160 ;2,6196 ;2,4948 ;3,61751 ;40,0684;  107 
40 ;3,7027 ;2,34256 ;3,25652 ;3,09598 ;4,49333 ;-0,217234;  95 ;2,89428 ;3,43702 ;4,49332 ;-0,217228;  603 
41 ;3,80781 ;3,70856 ;3,06716 ;3,28384 ;4,49344 ;-0,217234;  107 ;2,50402 ;2,62353 ;3,62671 ;40,0515;  107 
42 ;3,76313 ;4,38949 ;3,0136 ;3,33299 ;4,4934 ;-0,217234;  109 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
43 ;1,95839 ;3,4527 ;2,20814 ;3,9134 ;4,49339 ;-0,217234;  105 ;2,89882 ;3,43326 ;4,49338 ;-0,217228;  603 
44 ;4,73191 ;4,51279 ;2,82072 ;3,49772 ;4,49338 ;-0,217234;  159 ;2,81679 ;3,50094 ;4,49343 ;-0,217228;  601 
45 ;1,6023 ;5,17504 ;2,61412 ;3,65473 ;4,4934 ;-0,217234;  160 ;2,485 ;2,61278 ;3,6058 ;40,09;  107 
46 ;3,51691 ;2,55985 ;3,13647 ;3,21764 ;4,49341 ;-0,217234;  99 ;2,63683 ;2,4949 ;3,63007 ;40,0676;  105 
47 ;5,48035 ;3,8039 ;3,17234 ;3,18222 ;4,49336 ;-0,217234;  157 ;2,836 ;3,48535 ;4,49339 ;-0,217228;  607 
48 ;3,88154 ;3,59528 ;3,0987 ;3,25406 ;4,49342 ;-0,217234;  158 ;2,50985 ;2,62459 ;3,6315 ;40,0422;  107 
49 ;3,33819 ;5,28307 ;3,2448 ;3,10832 ;4,49337 ;-0,217234;  148 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  158 
50 ;4,44967 ;4,38156 ;2,8961 ;3,43562 ;4,49343 ;-0,217234;  107 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
51 ;4,98448 ;1,89979 ;4,32109 ;1,22555 ;4,49153 ;-0,217233;  114 ;2,62082 ;2,49687 ;3,61981 ;40,0643;  107 
52 ;5,22082 ;4,33627 ;3,02535 ;3,32237 ;4,49343 ;-0,217234;  106 ;2,52932 ;2,59422 ;3,62318 ;7,90201;  154 
53 ;3,9178 ;3,90303 ;3,52395 ;2,78793 ;4,49342 ;-0,217234;  107 ;2,51061 ;2,6247 ;3,63211 ;40,041;  107 
54 ;5,21654 ;3,09172 ;3,81374 ;2,37624 ;4,49346 ;-0,217234;  107 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
55 ;5,1494 ;2,53397 ;3,65536 ;2,61321 ;4,49339 ;-0,217234;  109 ;2,61507 ;2,55066 ;3,65301 ;7,89182;  158 
56 ;1,88551 ;4,78074 ;3,12585 ;3,22792 ;4,49338 ;-0,217234;  154 ;2,53455 ;2,62399 ;3,64818 ;40,0104;  111 
57 ;4,84605 ;1,59864 ;3,07073 ;3,28054 ;4,49347 ;-0,217234;  158 ;2,54874 ;2,59452 ;3,63698 ;7,89529;  160 
58 ;4,89122 ;3,17278 ;3,6886 ;2,56612 ;4,49342 ;-0,217234;  158 ;2,58678 ;2,59338 ;3,66293 ;39,9782;  107 
59 ;3,41913 ;4,70127 ;2,74928 ;3,55432 ;4,49352 ;-0,217234;  152 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
60 ;2,90678 ;3,78913 ;2,71045 ;3,58395 ;4,49347 ;-0,217234;  101 ;2,89932 ;3,43276 ;4,49332 ;-0,217228;  603 
61 ;3,68268 ;3,26873 ;3,41447 ;2,92102 ;4,49344 ;-0,217234;  103 ;2,63208 ;2,5091 ;3,6364 ;7,90428;  156 
62 ;4,0439 ;5,11693 ;3,25094 ;3,10191 ;4,49338 ;-0,217234;  108 ;2,45845 ;2,59231 ;3,57268 ;7,94021;  154 
63 ;3,70771 ;4,48874 ;2,97474 ;3,36785 ;4,49349 ;-0,217234;  105 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
64 ;4,53867 ;3,05205 ;3,71434 ;2,52871 ;4,49341 ;-0,217234;  109 ;2,57378 ;2,60069 ;3,65895 ;39,9814;  107 
65 ;3,99617 ;4,28646 ;3,18519 ;3,16973 ;4,49362 ;-0,217234;  101 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
66 ;2,31973 ;4,69236 ;1,29286 ;4,3033 ;4,49331 ;-0,217234;  165 ;2,53503 ;2,62347 ;3,64815 ;40,0099;  105 
67 ;2,60086 ;4,4664 ;3,04553 ;3,30381 ;4,49338 ;-0,217234;  154 ;2,56049 ;2,61178 ;3,65753 ;39,9881;  105 
68 ;2,08632 ;3,60688 ;2,58428 ;3,67588 ;4,4934 ;-0,217234;  101 ;2,48002 ;2,68367 ;3,65412 ;1,47589;  203 
69 ;1,81581 ;3,14141 ;2,72752 ;3,57086 ;4,49337 ;-0,217234;  197 ;2,48902 ;2,67862 ;3,65653 ;1,47464;  207 
70 ;4,51657 ;2,70866 ;3,43001 ;2,90274 ;4,49343 ;-0,217234;  159 ;2,59058 ;2,59179 ;3,66449 ;39,9778;  107 
71 ;4,06038 ;1,57788 ;4,19362 ;1,6136 ;4,49335 ;-0,217234;  105 ;2,89353 ;3,43766 ;4,49333 ;-0,217228;  615 
72 ;2,23489 ;4,85215 ;1,31634 ;4,29628 ;4,49342 ;-0,217234;  114 ;2,52612 ;2,62538 ;3,64334 ;40,02;  107 
73 ;4,58603 ;4,57895 ;2,76573 ;3,54147 ;4,49347 ;-0,217234;  106 ;2,81653 ;3,50101 ;4,49332 ;-0,217228;  601 
74 ;3,16289 ;5,28295 ;3,35885 ;2,98467 ;4,49334 ;-0,217234;  148 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  158 
75 ;2,62613 ;1,53113 ;2,91632 ;3,41845 ;4,49341 ;-0,217234;  153 ;2,43218 ;2,5911 ;3,55378 ;7,96001;  152 
76 ;3,87642 ;2,0641 ;3,4144 ;2,92105 ;4,4934 ;-0,217234;  103 ;2,5784 ;2,59504 ;3,65819 ;7,88802;  154 
77 ;2,61832 ;5,24194 ;2,37272 ;3,81594 ;4,49346 ;-0,217234;  207 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  158 
78 ;1,59668 ;2,6044 ;3,50037 ;2,81766 ;4,49353 ;-0,217234;  102 ;2,42558 ;2,59106 ;3,54923 ;7,96538;  152 
79 ;3,12004 ;3,68879 ;2,85778 ;3,46756 ;4,49343 ;-0,217234;  97 ;2,46015 ;2,65775 ;3,6216 ;7,92676;  152 
80 ;3,43878 ;2,41214 ;3,36326 ;2,97975 ;4,49338 ;-0,217234;  99 ;2,81564 ;3,50174 ;4,49333 ;-0,217228;  597 
81 ;5,04576 ;1,81019 ;3,54315 ;2,7634 ;4,49336 ;-0,217234;  154 ;2,61599 ;2,48911 ;3,61097 ;40,0804;  107 
82 ;1,54297 ;2,20144 ;3,05454 ;3,29552 ;4,4934 ;-0,217234;  147 ;2,81391 ;3,50322 ;4,4934 ;-0,217228;  601 
83 ;4,84898 ;4,45859 ;2,7927 ;3,52021 ;4,49344 ;-0,217234;  108 ;2,52032 ;2,59406 ;3,61679 ;7,90566;  158 
84 ;4,71397 ;3,47443 ;3,50877 ;2,80705 ;4,49344 ;-0,217234;  105 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
85 ;4,27474 ;1,64246 ;3,799 ;2,39966 ;4,49341 ;-0,217234;  156 ;2,87551 ;3,45287 ;4,49342 ;-0,217228;  611 
86 ;3,19231 ;4,70579 ;2,93549 ;3,40196 ;4,49338 ;-0,217234;  154 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  158 
87 ;2,30728 ;3,1845 ;2,43277 ;3,77794 ;4,49346 ;-0,217234;  101 ;2,86739 ;3,45947 ;4,49331 ;-0,217228;  605 
88 ;5,18529 ;2,25307 ;3,63531 ;2,64105 ;4,4934 ;-0,217234;  109 ;2,62447 ;2,52794 ;3,64394 ;40,0177;  107 
89 ;4,9387 ;3,91597 ;3,21876 ;3,13542 ;4,49348 ;-0,217234;  106 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  150 
90 ;1,77833 ;2,11904 ;3,19621 ;3,1585 ;4,49354 ;-0,217234;  100 ;2,58758 ;2,58164 ;3,65519 ;7,88857;  154 
91 ;2,38113 ;2,53739 ;2,83631 ;3,48507 ;4,49337 ;-0,217234;  150 ;2,38113 ;2,53739 ;3,47967 ;203,13;  48 
92 ;2,85649 ;2,69047 ;3,61289 ;2,67166 ;4,49341 ;-0,217234;  101 ;2,63422 ;2,50139 ;3,63264 ;40,0561;  103 
93 ;5,3518 ;3,26727 ;3,15203 ;3,20243 ;4,49342 ;-0,217234;  152 ;2,46908 ;2,59277 ;3,58034 ;7,93306;  154 
94 ;4,65671 ;2,57816 ;3,51619 ;2,7977 ;4,49341 ;-0,217234;  159 ;2,60439 ;2,57476 ;3,66228 ;39,981;  103 
95 ;2,05043 ;3,40509 ;2,29056 ;3,86565 ;4,49332 ;-0,217234;  105 ;2,87096 ;3,45665 ;4,49342 ;-0,217228;  597 
96 ;3,57929 ;1,68433 ;4,11851 ;1,79651 ;4,49328 ;-0,217234;  105 ;2,89289 ;3,43827 ;4,49338 ;-0,217228;  611 
97 ;3,46075 ;3,93342 ;3,21938 ;3,13473 ;4,49344 ;-0,217234;  159 ;2,48386 ;2,61169 ;3,60423 ;40,0929;  107 
98 ;4,88231 ;1,62085 ;3,14108 ;3,21309 ;4,49337 ;-0,217234;  158 ;2,55311 ;2,59483 ;3,64026 ;7,89395;  160 
99 ;2,59268 ;2,28359 ;3,47597 ;2,84745 ;4,49337 ;-0,217234;  197 ;2,48985 ;2,58794 ;3,59121 ;40,0947;  101 
100 ;4,88182 ;1,60389 ;3,12561 ;3,22827 ;4,49346 ;-0,217234;  158 ;2,55081 ;2,59482 ;3,63865 ;7,89461;  160 
