x0_1;x0_2;x1_out;x2_out;norm_out;y_out;f_calls_out;x1_in;x2_in;norm_in;y_in;f_calls_in
40 ;3,30108 ;3,35797 ;2,20095 ;3,34125 ;4,00102 ;-0,189259;  570 ;2,1229 ;2,15044 ;3,02177 ;11,1677;  154 
41 ;2,92351 ;3,09465 ;2,68569 ;2,96645 ;4,00159 ;-0,189288;  511 ;2,14574 ;2,14936 ;3,0371 ;55,6618;  103 
42 ;1,74879 ;2,96904 ;2,16047 ;3,36828 ;4,00162 ;-0,189288;  509 ;1,84258 ;2,06598 ;2,76828 ;11,879;  152 
43 ;1,70313 ;2,48624 ;2,7984 ;2,88428 ;4,01872 ;-0,190542;  156 ;1,87 ;2,07771 ;2,79531 ;58,2697;  95 
44 ;2,67142 ;4,04268 ;2,2927 ;3,27972 ;4,00163 ;-0,189287;  521 ;2,09566 ;2,1474 ;3,00052 ;11,1859;  150 
45 ;3,56024 ;3,87764 ;2,8532 ;2,80488 ;4,00101 ;-0,189259;  566 ;2,0732 ;2,14145 ;2,9806 ;11,2091;  158 
46 ;3,02483 ;5,15807 ;2,29122 ;3,30434 ;4,02099 ;-0,190592;  163 ;1,99127 ;2,09573 ;2,89089 ;2,34427;  199 
47 ;2,41446 ;2,53372 ;2,84657 ;2,80541 ;3,99666 ;-0,188811;  103 ;2,06246 ;2,0323 ;2,89551 ;56,3905;  101 
48 ;3,93806 ;4,15633 ;3,14548 ;2,47264 ;4,001 ;-0,189259;  568 ;2,12548 ;2,15066 ;3,02374 ;11,1665;  152 
49 ;3,05705 ;3,13884 ;2,9106 ;2,74589 ;4,00144 ;-0,189288;  515 ;2,14539 ;2,14986 ;3,0372 ;55,6618;  103 
50 ;4,18844 ;4,21554 ;3,29065 ;2,27687 ;4,00156 ;-0,189288;  515 ;2,15271 ;2,13868 ;3,03449 ;11,161;  156 
51 ;3,42511 ;3,46893 ;2,39214 ;3,20779 ;4,00154 ;-0,189288;  517 ;2,12086 ;2,1504 ;3,02031 ;11,1687;  154 
52 ;1,68445 ;3,90095 ;2,48594 ;3,1357 ;4,00156 ;-0,189288;  511 ;2,02731 ;2,11725 ;2,93134 ;11,2881;  150 
53 ;4,94871 ;1,85304 ;3,12461 ;2,49977 ;4,00151 ;-0,189288;  515 ;1,94401 ;2,64394 ;3,28171 ;0,0553566;  309 
54 ;3,58161 ;5,31933 ;2,80982 ;2,84889 ;4,00141 ;-0,189288;  518 ;1,99638 ;2,10214 ;2,89906 ;2,33826;  205 
55 ;4,59214 ;3,54889 ;2,76575 ;2,89194 ;4,00159 ;-0,189288;  517 ;2,16209 ;2,00826 ;2,95089 ;11,2863;  156 
56 ;3,65534 ;4,49667 ;2,96255 ;2,68999 ;4,00159 ;-0,189288;  517 ;2,07191 ;2,14101 ;2,97938 ;11,2107;  152 
57 ;4,21541 ;3,1574 ;3,092 ;2,53998 ;4,00149 ;-0,189288;  515 ;2,16373 ;2,05092 ;2,98128 ;11,2234;  158 
58 ;3,55829 ;2,11061 ;3,25346 ;2,32975 ;4,0016 ;-0,189288;  515 ;2,15599 ;1,9708 ;2,92102 ;56,5136;  107 
59 ;2,88212 ;2,20119 ;2,92611 ;2,72955 ;4,00157 ;-0,189288;  511 ;2,0969 ;1,85418 ;2,7991 ;11,7803;  148 
60 ;4,58359 ;2,69718 ;2,5477 ;3,08558 ;4,00145 ;-0,189288;  511 ;2,15346 ;1,96227 ;2,9134 ;11,3835;  158 
61 ;3,7364 ;2,99248 ;3,16672 ;2,44613 ;4,00146 ;-0,189288;  519 ;2,14145 ;2,15045 ;3,03484 ;11,1607;  154 
62 ;2,56253 ;4,45993 ;2,33396 ;3,25027 ;4,00145 ;-0,189288;  517 ;1,97943 ;2,07862 ;2,87033 ;2,36001;  207 
63 ;5,07543 ;1,91432 ;3,14429 ;2,47483 ;4,00141 ;-0,189288;  517 ;1,94352 ;2,64439 ;3,28178 ;0,0553537;  309 
64 ;4,51926 ;3,80573 ;2,57173 ;3,06586 ;4,00166 ;-0,189287;  517 ;2,16392 ;2,05615 ;2,98501 ;11,2172;  152 
65 ;3,24285 ;3,24236 ;2,60952 ;3,02584 ;3,99566 ;-0,188694;  111 ;2,14076 ;2,15056 ;3,03443 ;11,1609;  154 
66 ;3,70746 ;4,73203 ;2,9752 ;2,67587 ;4,00151 ;-0,189288;  518 ;2,085 ;2,14486 ;2,99126 ;11,1959;  152 
67 ;4,96764 ;4,62864 ;1,3745 ;3,72384 ;3,96941 ;-0,185533;  117 ;2,13835 ;2,00374 ;2,93044 ;56,2657;  111 
68 ;3,65729 ;5,1903 ;2,55314 ;3,08109 ;4,00145 ;-0,189288;  518 ;2,0056 ;2,11255 ;2,91296 ;2,32836;  201 
69 ;4,77146 ;3,37603 ;2,90882 ;2,74789 ;4,00152 ;-0,189288;  517 ;2,15654 ;1,97278 ;2,92275 ;11,358;  156 
70 ;3,85212 ;2,55179 ;3,59919 ;1,74688 ;4,00072 ;-0,189239;  665 ;2,15417 ;2,08168 ;2,99564 ;55,7799;  103 
71 ;5,07408 ;2,62626 ;3,05344 ;2,58645 ;4,00165 ;-0,189287;  515 ;2,09983 ;1,85739 ;2,80342 ;11,7635;  156 
72 ;1,66578 ;2,29946 ;2,77332 ;2,7589 ;3,91188 ;-0,178007;  156 ;2,13217 ;2,15076 ;3,02851 ;11,1637;  148 
73 ;2,61661 ;2,58707 ;2,38414 ;3,21311 ;4,00103 ;-0,189259;  562 ;2,14456 ;2,14486 ;3,03308 ;55,6632;  101 
74 ;3,18072 ;4,07064 ;2,58383 ;3,10018 ;4,03575 ;-0,191277;  107 ;1,98298 ;2,0842 ;2,87682 ;2,35495;  205 
75 ;2,83219 ;3,92305 ;2,26393 ;3,29964 ;4,00163 ;-0,189287;  521 ;2,11036 ;2,14952 ;3,01232 ;11,1748;  154 
76 ;1,5144 ;5,17821 ;2,28929 ;3,28213 ;4,00165 ;-0,189287;  515 ;2,06565 ;2,92821 ;3,58348 ;-0,0946487;  366 
77 ;1,78492 ;4,43551 ;2,34427 ;3,24292 ;4,00152 ;-0,189288;  521 ;2,02179 ;2,11281 ;2,92431 ;11,3015;  150 
78 ;3,27996 ;3,7309 ;2,39851 ;3,20298 ;4,00149 ;-0,189288;  513 ;2,03016 ;2,11927 ;2,93477 ;11,2817;  154 
79 ;5,30554 ;4,15755 ;2,54766 ;3,03943 ;3,96595 ;-0,185103;  166 ;2,16312 ;2,02289 ;2,96162 ;11,2621;  164 
80 ;1,80201 ;5,48291 ;2,56588 ;3,06996 ;4,00105 ;-0,189259;  566 ;2,0627 ;2,92994 ;3,58319 ;-0,0945822;  366 
81 ;4,94688 ;3,98689 ;3,11445 ;2,51262 ;4,00163 ;-0,189287;  518 ;2,16332 ;2,05857 ;2,98624 ;11,2147;  158 
82 ;1,71778 ;4,5322 ;2,09862 ;3,40697 ;4,00146 ;-0,189288;  523 ;1,98908 ;2,09296 ;2,88737 ;2,34691;  197 
83 ;4,38522 ;4,98302 ;3,12094 ;2,43219 ;3,95675 ;-0,183947;  166 ;2,07087 ;2,14204 ;2,9794 ;11,2113;  164 
84 ;1,58472 ;1,99782 ;2,73215 ;2,87725 ;3,96777 ;-0,185329;  159 ;2,16365 ;2,0539 ;2,98327 ;11,2199;  148 
