Lp.;x1(0);x2(0);x1* (hooke);x2* (hooke);y (hooke);f_calls;x1* (rosen);x2* (rosen);y (rosen);f_calls;1;-0.65;-0.32;-0.867;-0.0274;0,90904; ;280;-0.794942;-0.0033665;0,633213; ;109
85;-0.33;-0.87;-0.006;-0.6866;0,845779; ;282;4.35918e-05;-0.775118;0,620446; ;123
86;-0.41;-0.7;0.0084;-0.8324;0,726507; ;316;-0.00132301;-0.773229;0,620609; ;135
87;0.75;-0.79;0.7731;-0.7699;1,24185; ;73;0.775061;-0.775039;1,24089; ;47
88;-0.98;-0.88;-0.797;-0.721;1,34347; ;199;-0.774832;-0.774273;1,24091; ;87
89;0.15;-0.54;-0.0426;-0.7416;0,711851; ;310;0.15;-0.54;2,38677; ;3
90;0.39;-0.07;-0.0099;0.0443;0,0649386; ;411;0.381979;0.0102105;2,13901; ;27
91;-0.45;0.31;-0.766;-0.0058;0,624078; ;398;-0.45;0.31;3,98277; ;3
92;-0.8;0.24;-0.7865;-0.0013;0,624588; ;318;-0.775083;1.2579e-07;0,620446; ;221
93;-0.99;-0.47;-0.7271;-0.7401;1,34745; ;305;-0.775084;-0.775084;1,24089; ;179
94;-0.44;0.67;-0.764;0.868;1,51518; ;360;-0.812111;0.743096;1,31544; ;113
95;-0.51;-0.71;-0.7799;-0.8319;1,34364; ;329;-0.51;-0.71;2,65662; ;3
96;-0.65;-0.08;-0.7581;0.0225;0,64542; ;196;-0.775095;0.00016652;0,620447; ;181
97;0.43;-0.05;0.7784;0.023;0,637574; ;307;0.775136;-0.000484968;0,620454; ;99
98;0.01;0.29;0.0014;-0.0024;0,000245577; ;343;0.01;0.29;1,73585; ;3
99;0.17;-0.6;-0.0009;-0.7711;0,620966; ;292;0.17;-0.6;2,15719; ;3
100;-1;0.85;-0.7855;0.7111;1,36535; ;236;-0.774924;0.775014;1,24089; ;119
