Sigma;i;x1;x2;f(x);Liczba_wywolan
100;69;0,000217445;0,000297061;4,3113e-06;1957
100;70;0,000401687;-0,000170103;6,05327e-06;2955
100;71;-0,000529776;-0,000123635;9,41445e-06;1726
100;72;0,000385478;9,36594e-05;5,00598e-06;2697
100;73;5,40479e-05;0,000531247;9,07081e-06;2206
100;74;0,000202819;-0,000498982;9,22904e-06;3889
100;75;0,000157349;-0,0002041;2,11276e-06;3474
100;76;0,000432389;0,000330499;9,42215e-06;4390
100;77;-0,000259213;-0,000438435;8,25238e-06;8030
100;78;0,000467025;0,000285171;9,5254e-06;2705
100;79;9,14307e-05;-0,000441533;6,46757e-06;3450
100;80;0,000110494;0,000301326;3,27676e-06;1815
100;81;9,37736e-10;0,775083;0,620446;10020
100;82;0,000512862;-2,72404e-05;8,39083e-06;2869
100;83;-8,95931e-05;0,000157975;1,04923e-06;4579
100;84;0,000322874;0,000758209;2,16039e-05;10020
100;85;-0,000131193;-0,000171492;1,48308e-06;3204
100;86;0,000158694;-0,000223715;2,39323e-06;1443
100;87;0,0030552;-0,00079835;0,000317196;10020
100;88;0,000204007;-0,000406629;6,58384e-06;3382
100;89;-7,64582e-05;0,000464624;7,05321e-06;3382
100;90;0,000383718;0,000403706;9,8684e-06;1558
100;91;-0,000545428;-5,08342e-05;9,54579e-06;3667
100;92;0,000272702;-0,000321552;5,65483e-06;5337
100;93;-6,29282e-10;0,775083;0,620446;10020
100;94;0,000319373;-0,000159654;4,05557e-06;3198
100;95;0,000186292;-0,000280288;3,60313e-06;2801
100;96;-0,000312731;0,000107729;3,48034e-06;2388
100;97;0,00010809;0,000542351;9,72877e-06;3329
100;98;-0,000515127;3,1788e-05;8,47344e-06;3174
100;99;0,000113546;0,000121135;8,76924e-07;2701
100;100;2,59288e-10;0,775083;0,620446;10020
