0,472X ;0,037X ;0,2X ;0,0441268X ;2,72829X ;0,000238801X ;426
0,942X ;0,03X ;0,200015X ;0,0245335X ;0,843403X ;0,00249983X ;210
0,315X ;0,02X ;0,118528X ;0,0200407X ;0,333505X ;0,00116834X ;132
0,868X ;0,036X ;0,200017X ;0,0245338X ;0,843434X ;0,00249977X ;210
0,919X ;0,021X ;0,136369X ;0,021X ;0,421317X ;0,0014758X ;132
0,604X ;0,043X ;0,200005X ;0,0245297X ;0,843102X ;0,00250098X ;131
0,453X ;0,031X ;0,2X ;0,0246828X ;0,853639X ;0,00243932X ;210
0,9X ;0,049X ;0,2X ;0,0405088X ;2,29924X ;0,00033624X ;304
0,416X ;0,025X ;0,200008X ;0,0245721X ;0,846034X ;0,00248387X ;132
0,779X ;0,011X ;0,2X ;0,0477019X ;3,18828X ;0,000174866X ;250
0,65X ;0,011X ;0,0195849X ;0,011X ;0,016602X ;5,80699e-05X ;132
0,485X ;0,048X ;0,482862X ;0,0475135X ;7,6368X ;0,0025001X ;211
0,383X ;0,037X ;0,396645X ;0,040998X ;4,6707X ;0,00249986X ;132
0,236X ;0,015X ;0,0496978X ;0,015X ;0,0783383X ;0,000274412X ;132
0,597X ;0,014X ;0,0403977X ;0,014X ;0,0554711X ;0,000194229X ;132
0,69X ;0,011X ;0,0195875X ;0,011X ;0,0166043X ;5,80934e-05X ;132
0,921X ;0,027X ;0,200004X ;0,0245457X ;0,844196X ;0,00249443X ;132
0,885X ;0,049X ;0,2X ;0,0407606X ;2,32791X ;0,000328011X ;304
0,418X ;0,05X ;0,385796X ;0,0401552X ;4,35809X ;0,00249955X ;132
0,673X ;0,036X ;0,2X ;0,0426368X ;2,54715X ;0,000273974X ;308
0,84X ;0,014X ;0,0403887X ;0,014X ;0,0554588X ;0,0001941X ;132
0,789X ;0,05X ;0,2X ;0,0427098X ;2,55588X ;0,000272106X ;308
0,745X ;0,025X ;0,200007X ;0,0245721X ;0,846029X ;0,00248383X ;132
0,639X ;0,046X ;0,200006X ;0,0245649X ;0,845525X ;0,00248674X ;131
0,477X ;0,041X ;0,199999X ;0,0245248X ;0,842742X ;0,00250274X ;131
0,736X ;0,025X ;0,200013X ;0,0245721X ;0,846055X ;0,00248406X ;132
0,63X ;0,029X ;0,200007X ;0,0245503X ;0,844528X ;0,00249268X ;132
0,959X ;0,019X ;0,100978X ;0,019X ;0,255381X ;0,000894171X ;132
