0,89;2,77;-3,00001;-3,00001;72,0002;9,1659e-11;140
-6,41;5,45;-2,94001;-2,94001;70,5674;0,007198;141
-0,74;-6,08;-2,88;-2,88;69,1488;0,0288;137
0,16;1,53;-2,82;-2,82002;67,745;0,0647931;139
3,84;-8,55;-2,76001;-2,76001;66,3555;0,115187;143
-7,73;-4,63;-2,70001;-2,69999;64,98;0,179999;136
5,77;-7,11;-2,64;-2,64002;63,6195;0,259181;142
0,59;-8,01;-2,58001;-2,58002;62,2731;0,352774;139
-9,35;-8,97;-2,51999;-2,51998;60,9405;0,460822;141
9,34;4,46;-2,45999;-2,46001;59,6232;0,583199;148
5,47;-9,83;-2,39999;-2,4;58,3198;0,720019;145
5,47;-9,83;-2,34002;-2,34001;57,0315;0,871166;145
-6,41;-7,94;-2,28002;-2,27998;55,7568;1,0368;140
-2,58;-8,31;-2,22001;-2,22;54,4969;1,21678;136
3,77;6,53;-2,15997;-2,15999;53,2509;1,41126;144
-6,4;-7,62;-2,10002;-2,09999;52,0201;1,61998;140
0,78;-2,15;-2,04;-2,04001;50,8033;1,84318;134
-8,2;2,18;-1,97997;-1,98;49,6006;2,08084;140
2,43;1,95;-1,92002;-1,91999;48,4129;2,33278;139
-1,93;5,3;-1,86;-1,85998;47,239;2,59925;138
-0,69;1,58;-1,8;-1,79999;46,08;2,88001;136
-6,19;5,58;-1,73999;-1,74;44,9351;3,17522;142
9,46;7,86;-1,68;-1,68;43,8047;3,48482;147
6,07;-5,76;-1,62001;-1,62;42,6889;3,80876;142
0,76;-6,62;-1,55998;-1,56;41,587;4,14727;138
-5,46;-1,41;-1,49998;-1,50002;40,5001;4,49998;135
-3,84;-6,25;-1,43999;-1,44001;39,4272;4,8672;136
-7,11;-7,47;-1,38001;-1,38;38,3689;5,24876;141
-7,28;0,14;-1,32002;-1,31998;37,3248;5,6448;137
4,41;-0,41;-1,25998;-1,26001;36,2952;6,05522;137
1,19;5,12;-1,20001;-1,19999;35,2799;6,48002;139
5,43;-2,94;-1,13998;-1,14001;34,2791;6,91923;139
-8,19;-4,9;-1,07999;-1,08;33,2927;7,37284;139
-8,33;-3,15;-1,01998;-1,02001;32,3207;7,84087;137
-6,96;-3,7;-0,959977;-0,959987;31,3629;8,32335;139
8,58;9,11;-0,900019;-0,899981;30,42;8,82;147
1,22;-4,64;-0,840009;-0,840011;29,4914;9,33111;137
8,01;-0,71;-0,78;-0,780004;28,5768;9,85678;139
8,09;-6,04;-0,719982;-0,719996;27,6766;10,3969;143
-4,9;4,81;-0,660019;-0,659992;26,7913;10,9512;140
-5,87;-3,82;-0,599996;-0,599993;25,9199;11,5201;138
-9,89;-3,25;-0,54001;-0,54;25,0633;12,1032;141
2,05;5,11;-0,479992;-0,480029;24,2209;12,7007;139
-8,59;5,39;-0,42001;-0,419995;23,3928;13,3128;143
