Lp;x0_1;x0_2;SD_x1;SD_x2;SD_y;SD_f_calls;SD_g_calls;SD_global;CG_x1;CG_x2;CG_y;CG_f_calls;CG_g_calls;CG_global;N_x1;N_x2;N_y;N_f_calls;N_g_calls;N_H_calls;N_global
57;-0,67098;1,84729;-0,00410907;0,00991652;9,13583e-05;66;66;TAK;-0,000809325;-7,29502e-05;1,37438e-06;28;29;TAK;-1,06694;0,553807;0,877747;84;84;84;TAK
58;-1,51329;-0,937956;-1,74668;0,864841;0,298715;54;54;TAK;-1,74738;0,872118;0,298641;20;21;TAK;-1,7465;0,855609;0,298956;89;89;89;TAK
59;-1,37449;-0,248115;-1,7467;0,865017;0,298712;50;50;TAK;-1,74735;0,87162;0,298643;18;19;TAK;-1,07655;0,517259;0,877724;74;74;74;TAK
60;-0,13361;-1,78771;0,00438479;-0,0105839;0,000104063;60;60;TAK;0,000102654;-0,00184561;3,23789e-06;21;22;TAK;-0,00135867;-0,018624;0,000375849;89;89;89;TAK
61;1,5963;-1,29173;1,74841;-0,882597;0,298713;38;38;TAK;1,74769;-0,875553;0,298641;17;18;TAK;1,74359;-0,892316;0,299151;62;62;62;TAK
62;-0,00701926;1,04111;-0,00429571;0,0103701;9,98972e-05;54;54;TAK;-0,00046605;0,00197594;3,41785e-06;20;21;TAK;-0,000122019;0,0180993;0,000325404;79;79;79;TAK
63;0,89938;1,18931;-0,00438385;0,0106128;0,000104543;48;48;TAK;-0,00119312;0,00282254;7,44617e-06;18;19;TAK;1,06885;-0,516466;0,877678;88;88;88;TAK
64;0,105777;-0,144841;0,00438874;-0,0105633;0,000103745;33;33;TAK;0,000908168;-0,00127226;2,11276e-06;16;17;TAK;0,0109137;-0,0150818;0,000301065;44;44;44;TAK
65;1,53795;0,414014;1,74665;-0,864597;0,298719;50;50;TAK;1,74722;-0,87172;0,298643;19;20;TAK;1,74599;-0,855361;0,298964;82;82;82;TAK
66;1,86206;-0,259713;1,74666;-0,864694;0,298718;42;42;TAK;1,74744;-0,872166;0,298641;18;19;TAK;1,75224;-0,855603;0,299189;68;68;68;TAK
67;0,0851466;1,1727;-0,00430753;0,0103987;0,000100449;55;55;TAK;-0,000242025;0,00204777;3,81489e-06;20;21;TAK;0,00132339;0,0184055;0,000366624;81;81;81;TAK
68;1,36216;-1,01694;1,74846;-0,883146;0,298723;18;18;TAK;1,74752;-0,872963;0,298639;6;7;TAK;1,07937;-0,551058;0,87732;66;66;66;TAK
69;-0,0827052;0,6274;-0,00410211;0,00990372;9,11118e-05;49;49;TAK;-0,000654843;0,00190834;3,24973e-06;19;20;TAK;-0,00238015;0,0182062;0,000299463;69;69;69;TAK
70;-0,754234;1,28282;-0,00432714;0,0104419;0,000101297;62;62;TAK;0,000980464;-0,000417978;1,68751e-06;20;21;TAK;-1,06509;0,552893;0,877711;74;74;74;TAK
71;-0,920743;-0,784265;0,00389261;-0,0107774;0,000104506;33;33;TAK;0,00015763;0,0017907;3,53857e-06;17;18;TAK;-1,06859;0,516671;0,877664;83;83;83;TAK
72;0,484329;-1,12339;0,00415672;-0,0100323;9,35019e-05;58;58;TAK;0,00110534;-0,00175093;3,57393e-06;21;22;TAK;0,00560565;-0,0173565;0,0002668;80;80;80;TAK
73;1,40843;1,77953;0,00433154;-0,0101227;9,61469e-05;48;48;TAK;nan;nan;nan;10000;10001;NIE;1,07269;-0,517343;0,877713;95;95;95;TAK
74;-0,508377;-0,295724;0,00102183;-0,00817235;6,05249e-05;23;23;TAK;0,000825492;-0,000540118;1,20874e-06;16;17;TAK;-0,0119674;-0,0136195;0,000634901;65;65;65;TAK
75;-0,45967;-0,954192;0,00426052;-0,0102926;9,83892e-05;50;50;TAK;-2,11117e-05;-0,00112785;1,29674e-06;21;22;TAK;-0,00585671;-0,0176555;0,00048372;79;79;79;TAK
76;0,181707;1,73681;-0,00419321;0,0101218;9,51733e-05;60;60;TAK;-9,5479e-05;0,00181904;3,15345e-06;21;22;TAK;0,00181098;0,0181183;0,000367643;89;89;89;TAK
77;0,423902;1,58507;-0,00413737;0,00998798;9,26711e-05;58;58;TAK;-5,18519e-06;0,00172898;2,98046e-06;21;22;TAK;0,0035919;0,0178934;0,000410247;88;88;88;TAK
78;-1,40403;-0,406323;-1,74669;0,86492;0,298714;51;51;TAK;-1,74738;0,872151;0,298641;19;20;TAK;-1,07566;0,517548;0,877716;78;78;78;TAK
79;1,96753;0,369213;1,74664;-0,864472;0,298722;49;49;TAK;1,74734;-0,872204;0,298641;20;21;TAK;1,7532;-0,856436;0,299233;82;82;82;TAK
80;1,72631;-1,42454;1,74842;-0,882743;0,298716;41;41;TAK;1,74781;-0,875772;0,298642;17;18;TAK;1,74687;-0,892449;0,299003;66;66;66;TAK
81;-0,55623;-1,94201;0,00424375;-0,0102443;9,74893e-05;60;60;TAK;4,32519e-05;-0,00134951;1,76654e-06;22;23;TAK;0,00188003;-0,0188212;0,000325924;94;94;94;TAK
