Czas;x1_sym;x2_sym;x1_exp;x2_exp
77,9;1,14506;2,3014;1;2
78;1,14453;2,30165;1;2
78,1;1,144;2,30191;1;2
78,2;1,14347;2,30217;1;2
78,3;1,14294;2,30243;1;2
78,4;1,14241;2,30269;1;2
78,5;1,14187;2,30296;1;2
78,6;1,14133;2,30322;1;2
78,7;1,14078;2,30349;1;2
78,8;1,14024;2,30376;1;2
78,9;1,13969;2,30402;1;2
79;1,13914;2,30429;1;2
79,1;1,13858;2,30457;1;2
79,2;1,13803;2,30484;1;2
79,3;1,13747;2,30511;1;2
79,4;1,13691;2,30539;1;2
79,5;1,13634;2,30567;1;2
79,6;1,13577;2,30595;1;2
79,7;1,1352;2,30623;1;2
79,8;1,13463;2,30651;1;2
79,9;1,13405;2,30679;1;2
80;1,13347;2,30707;1;2
80,1;1,13289;2,30736;1;2
80,2;1,13231;2,30765;1;2
80,3;1,13172;2,30794;1;2
80,4;1,13113;2,30823;1;2
80,5;1,13053;2,30852;1;2
80,6;1,12994;2,30881;1;2
80,7;1,12934;2,3091;1;2
80,8;1,12873;2,3094;1;2
80,9;1,12813;2,3097;1;2
81;1,12752;2,31;1;2
81,1;1,1269;2,3103;1;2
81,2;1,12629;2,3106;1;2
81,3;1,12567;2,3109;1;2
81,4;1,12505;2,3112;1;2
81,5;1,12442;2,31151;1;2
81,6;1,1238;2,31182;1;2
81,7;1,12316;2,31213;1;2
81,8;1,12253;2,31244;1;2
81,9;1,12189;2,31275;1;2
82;1,12125;2,31306;1;2
82,1;1,12061;2,31338;1;2
82,2;1,11996;2,31369;1;2
82,3;1,11931;2,31401;1;2
82,4;1,11866;2,31433;1;2
82,5;1,118;2,31465;1;2
82,6;1,11734;2,31498;1;2
82,7;1,11668;2,3153;1;2
82,8;1,11601;2,31563;1;2
82,9;1,11534;2,31596;1;2
83;1,11467;2,31628;1;2
83,1;1,11399;2,31662;1;2
83,2;1,11331;2,31695;1;2
83,3;1,11263;2,31728;1;2
83,4;1,11194;2,31762;1;2
83,5;1,11125;2,31796;1;2
83,6;1,11055;2,3183;1;2
83,7;1,10986;2,31864;1;2
83,8;1,10916;2,31898;1;2
83,9;1,10845;2,31933;1;2
84;1,10775;2,31967;1;2
84,1;1,10703;2,32002;1;2
84,2;1,10632;2,32037;1;2
84,3;1,1056;2,32072;1;2
84,4;1,10488;2,32108;1;2
84,5;1,10415;2,32143;1;2
84,6;1,10342;2,32179;1;2
84,7;1,10269;2,32215;1;2
84,8;1,10196;2,32251;1;2
84,9;1,10122;2,32287;1;2
85;1,10047;2,32324;1;2
85,1;1,09972;2,3236;1;2
85,2;1,09897;2,32397;1;2
85,3;1,09822;2,32434;1;2
85,4;1,09746;2,32471;1;2
85,5;1,0967;2,32509;1;2
85,6;1,09593;2,32546;1;2
85,7;1,09516;2,32584;1;2
85,8;1,09439;2,32622;1;2
85,9;1,09361;2,3266;1;2
86;1,09283;2,32698;1;2
86,1;1,09204;2,32737;1;2
86,2;1,09125;2,32776;1;2
86,3;1,09046;2,32814;1;2
86,4;1,08966;2,32854;1;2
86,5;1,08886;2,32893;1;2
86,6;1,08805;2,32932;1;2
86,7;1,08724;2,32972;1;2
86,8;1,08643;2,33012;1;2
86,9;1,08561;2,33052;1;2
87;1,08479;2,33092;1;2
87,1;1,08396;2,33133;1;2
87,2;1,08313;2,33173;1;2
87,3;1,0823;2,33214;1;2
87,4;1,08146;2,33255;1;2
87,5;1,08062;2,33296;1;2
87,6;1,07977;2,33338;1;2
87,7;1,07892;2,33379;1;2
87,8;1,07807;2,33421;1;2
87,9;1,07721;2,33463;1;2
88;1,07634;2,33506;1;2
88,1;1,07547;2,33548;1;2
88,2;1,0746;2,33591;1;2
88,3;1,07372;2,33634;1;2
88,4;1,07284;2,33677;1;2
88,5;1,07196;2,3372;1;2
88,6;1,07107;2,33764;1;2
88,7;1,07017;2,33808;1;2
88,8;1,06927;2,33852;1;2
88,9;1,06837;2,33896;1;2
89;1,06746;2,33941;1;2
89,1;1,06655;2,33985;1;2
89,2;1,06563;2,3403;1;2
89,3;1,06471;2,34075;1;2
89,4;1,06378;2,34121;1;2
89,5;1,06285;2,34166;1;2
89,6;1,06192;2,34212;1;2
89,7;1,06098;2,34258;1;2
89,8;1,06003;2,34304;1;2
89,9;1,05908;2,34351;1;2
90;1,05813;2,34398;1;2
90,1;1,05717;2,34445;1;2
90,2;1,0562;2,34492;1;2
90,3;1,05523;2,34539;1;2
90,4;1,05426;2,34587;1;2
90,5;1,05328;2,34635;1;2
90,6;1,0523;2,34683;1;2
90,7;1,05131;2,34732;1;2
90,8;1,05032;2,3478;1;2
90,9;1,04932;2,34829;1;2
91;1,04832;2,34878;1;2
91,1;1,04731;2,34928;1;2
91,2;1,04629;2,34977;1;2
91,3;1,04528;2,35027;1;2
91,4;1,04425;2,35077;1;2
91,5;1,04322;2,35128;1;2
91,6;1,04219;2,35178;1;2
91,7;1,04115;2,35229;1;2
91,8;1,04011;2,35281;1;2
91,9;1,03906;2,35332;1;2
92;1,038;2,35384;1;2
92,1;1,03694;2,35435;1;2
92,2;1,03588;2,35488;1;2
92,3;1,03481;2,3554;1;2
92,4;1,03373;2,35593;1;2
92,5;1,03265;2,35646;1;2
92,6;1,03156;2,35699;1;2
92,7;1,03047;2,35752;1;2
92,8;1,02937;2,35806;1;2
92,9;1,02827;2,3586;1;2
93;1,02716;2,35915;1;2
93,1;1,02605;2,35969;1;2
93,2;1,02493;2,36024;1;2
93,3;1,0238;2,36079;1;2
93,4;1,02267;2,36134;1;2
93,5;1,02154;2,3619;1;2
93,6;1,02039;2,36246;1;2
93,7;1,01925;2,36302;1;2
93,8;1,01809;2,36359;1;2
93,9;1,01693;2,36416;1;2
94;1,01577;2,36473;1;2
94,1;1,0146;2,3653;1;2
94,2;1,01342;2,36588;1;2
94,3;1,01224;2,36646;1;2
94,4;1,01105;2,36704;1;2
94,5;1,00985;2,36762;1;2
94,6;1,00865;2,36821;1;2
94,7;1,00745;2,3688;1;2
94,8;1,00623;2,3694;1;2
94,9;1,00501;2,36999;1;2
95;1,00379;2,37059;1;2
95,1;1,00256;2,3712;1;2
95,2;1,00132;2,3718;1;2
95,3;1,00008;2,37241;1;2
95,4;0,998829;2,37302;1;2
95,5;0,997574;2,37364;1;2
95,6;0,996312;2,37426;1;2
95,7;0,995043;2,37488;1;2
95,8;0,993769;2,3755;1;2
95,9;0,992488;2,37613;1;2
96;0,9912;2,37676;1;2
96,1;0,989906;2,37739;1;2
96,2;0,988606;2,37803;1;2
96,3;0,987299;2,37867;1;2
96,4;0,985986;2,37931;1;2
96,5;0,984666;2,37996;1;2
96,6;0,983339;2,38061;1;2
96,7;0,982006;2,38126;1;2
96,8;0,980667;2,38192;1;2
96,9;0,97932;2,38258;1;2
97;0,977967;2,38324;1;2
97,1;0,976607;2,38391;1;2
97,2;0,97524;2,38458;1;2
97,3;0,973866;2,38525;1;2
97,4;0,972486;2,38593;1;2
97,5;0,971098;2,38661;1;2
97,6;0,969704;2,38729;1;2
97,7;0,968303;2,38797;1;2
97,8;0,966894;2,38866;1;2
97,9;0,965479;2,38936;1;2
98;0,964056;2,39005;1;2
98,1;0,962627;2,39075;1;2
98,2;0,96119;2,39146;1;2
98,3;0,959746;2,39217;1;2
98,4;0,958295;2,39288;1;2
98,5;0,956837;2,39359;1;2
98,6;0,955371;2,39431;1;2
98,7;0,953898;2,39503;1;2
98,8;0,952418;2,39576;1;2
98,9;0,95093;2,39648;1;2
99;0,949435;2,39722;1;2
99,1;0,947932;2,39795;1;2
99,2;0,946422;2,39869;1;2
99,3;0,944904;2,39944;1;2
99,4;0,943378;2,40018;1;2
99,5;0,941846;2,40093;1;2
99,6;0,940305;2,40169;1;2
99,7;0,938757;2,40245;1;2
99,8;0,9372;2,40321;1;2
99,9;0,935637;2,40397;1;2
100;0,934065;2,40474;1;2
