Czas;x1_sym;x2_sym;x1_exp;x2_exp
17,8;1,20371;2,19542;1;1
17,9;1,21147;2,20327;1;1
18;1,21941;2,21142;1;1
18,1;1,22741;2,21975;1;1
18,2;1,23539;2,22816;1;1
18,3;1,24323;2,23654;1;1
18,4;1,25085;2,24478;1;1
18,5;1,25814;2,25279;1;1
18,6;1,26504;2,26048;1;1
18,7;1,27146;2,26775;1;1
18,8;1,27734;2,27455;1;1
18,9;1,28261;2,28078;1;1
19;1,28724;2,2864;1;1
19,1;1,29118;2,29136;1;1
19,2;1,2944;2,29561;1;1
19,3;1,29689;2,29912;1;1
19,4;1,29863;2,30189;1;1
19,5;1,29964;2,30388;1;1
19,6;1,29991;2,30512;1;1
19,7;1,29946;2,3056;1;1
19,8;1,29834;2,30535;1;1
19,9;1,29656;2,30439;1;1
20;1,29417;2,30277;1;1
20,1;1,29123;2,30051;1;1
20,2;1,28779;2,29768;1;1
20,3;1,2839;2,29433;1;1
20,4;1,27962;2,29052;1;2
20,5;1,27504;2,28631;1;2
20,6;1,2702;2,28177;1;2
20,7;1,26519;2,27697;1;2
20,8;1,26007;2,27199;1;2
20,9;1,2549;2,26688;1;2
21;1,24976;2,26172;1;2
21,1;1,2447;2,25658;1;2
21,2;1,2398;2,25153;1;2
21,3;1,2351;2,24662;1;2
21,4;1,23066;2,24192;1;2
21,5;1,22652;2,23748;1;2
21,6;1,22274;2,23334;1;2
21,7;1,21934;2,22956;1;2
21,8;1,21635;2,22617;1;2
21,9;1,21381;2,2232;1;2
22;1,21172;2,22068;1;2
22,1;1,2101;2,21862;1;2
22,2;1,20896;2,21704;1;2
22,3;1,20829;2,21595;1;2
22,4;1,20808;2,21534;1;2
22,5;1,20833;2,2152;1;2
22,6;1,20902;2,21553;1;2
22,7;1,21012;2,21631;1;2
22,8;1,2116;2,21751;1;2
22,9;1,21344;2,2191;1;2
23;1,2156;2,22106;1;2
23,1;1,21804;2,22334;1;2
23,2;1,22072;2,22592;1;2
23,3;1,2236;2,22874;1;2
23,4;1,22664;2,23177;1;2
23,5;1,22979;2,23496;1;2
23,6;1,233;2,23827;1;2
23,7;1,23624;2,24164;1;2
23,8;1,23946;2,24505;1;2
23,9;1,24263;2,24843;1;2
24;1,24569;2,25176;1;2
24,1;1,24862;2,255;1;2
24,2;1,25139;2,25809;1;2
24,3;1,25396;2,26102;1;1
24,4;1,2563;2,26375;1;1
24,5;1,2584;2,26625;1;1
24,6;1,26023;2,26849;1;1
24,7;1,26178;2,27047;1;1
24,8;1,26303;2,27215;1;1
24,9;1,26399;2,27354;1;1
25;1,26464;2,27462;1;1
25,1;1,26499;2,27539;1;1
25,2;1,26505;2,27585;1;1
25,3;1,26481;2,27601;1;1
25,4;1,2643;2,27586;1;1
25,5;1,26352;2,27544;1;1
25,6;1,2625;2,27474;1;1
25,7;1,26125;2,27379;1;1
25,8;1,2598;2,2726;1;1
25,9;1,25817;2,27121;1;1
26;1,25639;2,26964;1;1
26,1;1,25448;2,2679;1;1
26,2;1,25248;2,26604;1;1
26,3;1,2504;2,26407;1;1
26,4;1,24828;2,26203;1;2
26,5;1,24615;2,25994;1;2
26,6;1,24403;2,25784;1;2
26,7;1,24195;2,25575;1;2
26,8;1,23994;2,2537;1;2
26,9;1,238;2,2517;1;2
27;1,23618;2,2498;1;2
27,1;1,23448;2,248;1;2
27,2;1,23293;2,24634;1;2
27,3;1,23153;2,24481;1;2
27,4;1,23031;2,24345;1;2
27,5;1,22926;2,24226;1;2
27,6;1,2284;2,24126;1;2
27,7;1,22774;2,24045;1;2
27,8;1,22726;2,23983;1;2
27,9;1,22698;2,23941;1;2
28;1,22689;2,23918;1;2
28,1;1,22698;2,23916;1;2
28,2;1,22725;2,23932;1;2
28,3;1,22768;2,23966;1;2
28,4;1,22827;2,24017;1;2
28,5;1,22901;2,24084;1;2
28,6;1,22987;2,24166;1;2
28,7;1,23084;2,24261;1;2
28,8;1,23191;2,24368;1;2
28,9;1,23306;2,24484;1;2
29;1,23427;2,24609;1;2
29,1;1,23553;2,24741;1;2
29,2;1,23681;2,24876;1;2
29,3;1,2381;2,25015;1;2
29,4;1,23937;2,25155;1;2
29,5;1,24063;2,25293;1;2
29,6;1,24184;2,25429;1;2
29,7;1,24299;2,25562;1;2
29,8;1,24408;2,25688;1;2
29,9;1,24508;2,25807;1;2
30;1,246;2,25919;1;2
30,1;1,24681;2,2602;1;2
30,2;1,24751;2,26112;1;2
30,3;1,24809;2,26192;1;2
30,4;1,24856;2,26261;1;2
30,5;1,2489;2,26317;1;2
30,6;1,24912;2,26361;1;2
30,7;1,24921;2,26392;1;2
30,8;1,24919;2,26411;1;2
30,9;1,24904;2,26417;1;2
31;1,24879;2,26411;1;2
31,1;1,24842;2,26394;1;1
31,2;1,24796;2,26365;1;1
31,3;1,24741;2,26327;1;1
31,4;1,24678;2,26279;1;1
31,5;1,24607;2,26223;1;1
31,6;1,2453;2,26159;1;1
31,7;1,24449;2,26089;1;1
31,8;1,24363;2,26014;1;1
31,9;1,24274;2,25935;1;1
32;1,24184;2,25853;1;1
32,1;1,24094;2,2577;1;1
32,2;1,24004;2,25686;1;2
32,3;1,23916;2,25602;1;2
32,4;1,2383;2,2552;1;2
32,5;1,23748;2,25441;1;2
32,6;1,23671;2,25365;1;2
32,7;1,23598;2,25294;1;2
32,8;1,23532;2,25229;1;2
32,9;1,23472;2,25169;1;2
33;1,23419;2,25116;1;2
33,1;1,23373;2,2507;1;2
33,2;1,23335;2,25031;1;2
33,3;1,23305;2,25001;1;2
33,4;1,23283;2,24978;1;2
33,5;1,23268;2,24964;1;2
33,6;1,23261;2,24957;1;2
33,7;1,23262;2,24958;1;2
33,8;1,2327;2,24968;1;2
33,9;1,23284;2,24984;1;2
34;1,23305;2,25007;1;2
34,1;1,23331;2,25037;1;2
34,2;1,23363;2,25073;1;2
34,3;1,23399;2,25114;1;2
34,4;1,23439;2,2516;1;2
34,5;1,23482;2,2521;1;2
34,6;1,23527;2,25263;1;2
34,7;1,23574;2,25318;1;2
34,8;1,23622;2,25376;1;2
34,9;1,2367;2,25434;1;2
35;1,23718;2,25493;1;2
35,1;1,23765;2,25551;1;2
35,2;1,23809;2,25609;1;2
35,3;1,23852;2,25664;1;2
35,4;1,23891;2,25717;1;2
35,5;1,23928;2,25768;1;2
35,6;1,2396;2,25815;1;2
35,7;1,23988;2,25858;1;2
35,8;1,24012;2,25896;1;2
35,9;1,24031;2,25931;1;2
36;1,24044;2,2596;1;2
36,1;1,24053;2,25985;1;2
