


Wspolczynnik ekspansji: 1.38
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
50;99;51,3433;64,4662;7;62,7488;  -0,921148;  30;globalne;66,4829;  -0,729115;  5;globalne
51;-24;1,0245;10,5338;6;1,03414;  2,13888e-05;  28;lokalne;-2,38451e-09;  -7,15705e-18;  5;lokalne
52;64;59;69;0;62,7508;  -0,921148;  30;globalne;62,7482;  -0,921148;  26;globalne
53;92;57,4662;66,9755;6;62,7459;  -0,921148;  28;globalne;62,7482;  -0,921148;  24;globalne
54;29;-5,53381;3,9755;6;-0,00357481;  2,55586e-10;  28;lokalne;9,71228e-13;  -7,15717e-18;  12;lokalne
55;72;58,8596;62,478;3;62,4684;  -0,919974;  24;globalne;62,9921;  -0,920255;  5;globalne
56;-47;0,656661;18,7662;8;0,663669;  8,80913e-06;  32;lokalne;1,75767e-06;  5,46312e-17;  5;lokalne
57;-72;-6,23381;18,7573;9;0,00430866;  3,71291e-10;  32;lokalne;2,04031e-11;  -7,15717e-18;  12;lokalne
58;-57;8,76619;33,7573;9;8,77586;  0,00154032;  32;lokalne;0,482411;  4,65442e-06;  5;lokalne
59;-88;2,75734;37,2451;10;2,76559;  0,00015297;  34;lokalne;1,04108;  2,16768e-05;  5;lokalne
60;-46;1,65666;19,7662;8;1,66367;  5,53559e-05;  32;lokalne;6,56885e-06;  8,55838e-16;  5;lokalne
61;22;-12,5338;-3,0245;6;-3,03414;  0,00018412;  28;lokalne;0;  -7,15717e-18;  5;lokalne
62;58;63;64,9;1;63,0082;  -0,920133;  22;globalne;62,7102;  -0,921127;  5;globalne
63;8;-1,522;1,1;2;0,00112467;  2,52976e-11;  24;lokalne;2,42351e-13;  -7,15717e-18;  12;lokalne
64;62;57;67;0;62,7483;  -0,921148;  30;globalne;62,7482;  -0,921148;  24;globalne
65;52;61,522;65,1404;3;62,7505;  -0,921148;  24;globalne;62,7482;  -0,921148;  16;globalne
66;23;-11,5338;-2,0245;6;-2,03414;  8,27542e-05;  28;lokalne;6,45555e-15;  -7,15717e-18;  5;lokalne
67;55;61,9;64,522;2;62,7485;  -0,921148;  24;globalne;62,7482;  -0,921148;  16;globalne
68;55;61,9;64,522;2;62,7485;  -0,921148;  24;globalne;62,7482;  -0,921148;  16;globalne
