t(s); V(A); V(B); temp(B);
145; 3,81769; 1,86844; 48,06; 
146; 3,81009; 1,87236; 48,1005; 
147; 3,80249; 1,87626; 48,1404; 
148; 3,79491; 1,88014; 48,1797; 
149; 3,78733; 1,884; 48,2183; 
150; 3,77976; 1,88784; 48,2563; 
151; 3,7722; 1,89166; 48,2936; 
152; 3,76464; 1,89545; 48,3304; 
153; 3,75709; 1,89923; 48,3666; 
154; 3,74955; 1,90298; 48,4022; 
155; 3,74202; 1,90671; 48,4372; 
156; 3,7345; 1,91042; 48,4716; 
157; 3,72698; 1,91411; 48,5055; 
158; 3,71947; 1,91778; 48,5388; 
159; 3,71196; 1,92142; 48,5716; 
160; 3,70447; 1,92505; 48,6038; 
161; 3,69698; 1,92866; 48,6355; 
162; 3,6895; 1,93224; 48,6667; 
163; 3,68203; 1,93581; 48,6973; 
164; 3,67457; 1,93935; 48,7274; 
165; 3,66711; 1,94288; 48,7571; 
166; 3,65966; 1,94638; 48,7862; 
167; 3,65222; 1,94987; 48,8149; 
168; 3,64478; 1,95333; 48,843; 
169; 3,63736; 1,95678; 48,8707; 
170; 3,62994; 1,9602; 48,8979; 
171; 3,62253; 1,96361; 48,9247; 
172; 3,61512; 1,96699; 48,951; 
173; 3,60773; 1,97036; 48,9768; 
174; 3,60034; 1,9737; 49,0022; 
175; 3,59296; 1,97703; 49,0271; 
176; 3,58558; 1,98034; 49,0516; 
177; 3,57822; 1,98362; 49,0757; 
178; 3,57086; 1,98689; 49,0994; 
179; 3,56351; 1,99014; 49,1226; 
180; 3,55616; 1,99337; 49,1455; 
181; 3,54883; 1,99658; 49,1679; 
182; 3,5415; 1,99978; 49,1899; 
183; 3,53418; 2,00295; 49,2115; 
184; 3,52686; 2,0061; 49,2328; 
185; 3,51956; 2,00924; 49,2536; 
186; 3,51226; 2,01236; 49,2741; 
187; 3,50497; 2,01546; 49,2942; 
188; 3,49769; 2,01854; 49,3139; 
189; 3,49041; 2,0216; 49,3332; 
190; 3,48314; 2,02465; 49,3522; 
191; 3,47588; 2,02767; 49,3708; 
192; 3,46863; 2,03068; 49,3891; 
193; 3,46139; 2,03367; 49,407; 
194; 3,45415; 2,03664; 49,4245; 
195; 3,44692; 2,03959; 49,4418; 
196; 3,4397; 2,04253; 49,4587; 
197; 3,43248; 2,04545; 49,4752; 
198; 3,42528; 2,04835; 49,4914; 
199; 3,41808; 2,05123; 49,5073; 
200; 3,41088; 2,05409; 49,5229; 
201; 3,4037; 2,05694; 49,5382; 
202; 3,39652; 2,05977; 49,5531; 
203; 3,38935; 2,06258; 49,5677; 
204; 3,38219; 2,06538; 49,5821; 
205; 3,37504; 2,06816; 49,5961; 
206; 3,36789; 2,07092; 49,6098; 
207; 3,36075; 2,07366; 49,6232; 
208; 3,35362; 2,07639; 49,6364; 
209; 3,3465; 2,0791; 49,6492; 
210; 3,33938; 2,08179; 49,6618; 
211; 3,33227; 2,08446; 49,6741; 
212; 3,32517; 2,08712; 49,686; 
213; 3,31808; 2,08977; 49,6978; 
214; 3,31099; 2,09239; 49,7092; 
215; 3,30391; 2,095; 49,7204; 
216; 3,29684; 2,09759; 49,7313; 
217; 3,28978; 2,10017; 49,7419; 
218; 3,28272; 2,10273; 49,7523; 
219; 3,27568; 2,10527; 49,7624; 
220; 3,26864; 2,1078; 49,7723; 
221; 3,2616; 2,11031; 49,7819; 
222; 3,25458; 2,1128; 49,7913; 
223; 3,24756; 2,11528; 49,8004; 
224; 3,24055; 2,11774; 49,8093; 
225; 3,23355; 2,12019; 49,8179; 
226; 3,22655; 2,12262; 49,8263; 
227; 3,21957; 2,12503; 49,8344; 
228; 3,21259; 2,12743; 49,8424; 
229; 3,20561; 2,12981; 49,85; 
230; 3,19865; 2,13218; 49,8575; 
231; 3,19169; 2,13453; 49,8647; 
232; 3,18474; 2,13687; 49,8717; 
233; 3,1778; 2,13919; 49,8785; 
234; 3,17087; 2,14149; 49,8851; 
235; 3,16394; 2,14378; 49,8914; 
236; 3,15702; 2,14605; 49,8976; 
237; 3,15011; 2,14831; 49,9035; 
238; 3,1432; 2,15055; 49,9092; 
239; 3,13631; 2,15278; 49,9147; 
240; 3,12942; 2,15499; 49,92; 
241; 3,12254; 2,15719; 49,9251; 
242; 3,11566; 2,15938; 49,93; 
243; 3,1088; 2,16154; 49,9346; 
244; 3,10194; 2,1637; 49,9391; 
245; 3,09509; 2,16583; 49,9434; 
246; 3,08824; 2,16796; 49,9475; 
247; 3,08141; 2,17007; 49,9514; 
248; 3,07458; 2,17216; 49,9551; 
249; 3,06776; 2,17424; 49,9587; 
250; 3,06094; 2,1763; 49,962; 
251; 3,05414; 2,17835; 49,9652; 
252; 3,04734; 2,18039; 49,9681; 
253; 3,04055; 2,18241; 49,9709; 
254; 3,03377; 2,18442; 49,9735; 
255; 3,02699; 2,18641; 49,976; 
256; 3,02022; 2,18839; 49,9782; 
257; 3,01346; 2,19035; 49,9803; 
258; 3,00671; 2,1923; 49,9822; 
259; 2,99997; 2,19423; 49,9839; 
260; 2,99323; 2,19616; 49,9855; 
261; 2,9865; 2,19806; 49,9869; 
262; 2,97978; 2,19996; 49,9881; 
263; 2,97306; 2,20184; 49,9892; 
264; 2,96635; 2,2037; 49,9901; 
265; 2,95965; 2,20555; 49,9909; 
266; 2,95296; 2,20739; 49,9915; 
267; 2,94628; 2,20921; 49,9919; 
268; 2,9396; 2,21103; 49,9921; 
269; 2,93293; 2,21282; 49,9923; 
270; 2,92627; 2,21461; 49,9922; 
271; 2,91962; 2,21637; 49,992; 
272; 2,91297; 2,21813; 49,9917; 
273; 2,90633; 2,21987; 49,9912; 
274; 2,8997; 2,2216; 49,9905; 
275; 2,89308; 2,22332; 49,9897; 
276; 2,88646; 2,22502; 49,9888; 
277; 2,87985; 2,22671; 49,9877; 
278; 2,87325; 2,22839; 49,9865; 
279; 2,86666; 2,23005; 49,9851; 
280; 2,86007; 2,2317; 49,9836; 
281; 2,85349; 2,23334; 49,982; 
282; 2,84692; 2,23496; 49,9802; 
