t(s); V(A); V(B); temp(B);
145; 3,81615; 1,86959; 48,082; 
146; 3,80854; 1,87352; 48,1225; 
147; 3,80094; 1,87743; 48,1624; 
148; 3,79334; 1,88132; 48,2017; 
149; 3,78575; 1,88518; 48,2403; 
150; 3,77817; 1,88902; 48,2783; 
151; 3,7706; 1,89284; 48,3156; 
152; 3,76304; 1,89664; 48,3524; 
153; 3,75548; 1,90042; 48,3886; 
154; 3,74793; 1,90418; 48,4241; 
155; 3,74039; 1,90791; 48,4591; 
156; 3,73286; 1,91163; 48,4936; 
157; 3,72533; 1,91532; 48,5274; 
158; 3,71781; 1,919; 48,5607; 
159; 3,7103; 1,92265; 48,5935; 
160; 3,7028; 1,92628; 48,6257; 
161; 3,6953; 1,92989; 48,6574; 
162; 3,68781; 1,93348; 48,6886; 
163; 3,68033; 1,93705; 48,7192; 
164; 3,67286; 1,9406; 48,7493; 
165; 3,66539; 1,94413; 48,7789; 
166; 3,65793; 1,94764; 48,8081; 
167; 3,65048; 1,95112; 48,8367; 
168; 3,64304; 1,95459; 48,8649; 
169; 3,6356; 1,95804; 48,8925; 
170; 3,62818; 1,96147; 48,9197; 
171; 3,62076; 1,96488; 48,9465; 
172; 3,61334; 1,96827; 48,9728; 
173; 3,60594; 1,97164; 48,9986; 
174; 3,59854; 1,97499; 49,024; 
175; 3,59115; 1,97832; 49,0489; 
176; 3,58377; 1,98163; 49,0734; 
177; 3,5764; 1,98492; 49,0975; 
178; 3,56903; 1,98819; 49,1211; 
179; 3,56167; 1,99145; 49,1444; 
180; 3,55432; 1,99468; 49,1672; 
181; 3,54697; 1,9979; 49,1896; 
182; 3,53964; 2,00109; 49,2116; 
183; 3,53231; 2,00427; 49,2332; 
184; 3,52499; 2,00743; 49,2544; 
185; 3,51767; 2,01057; 49,2753; 
186; 3,51037; 2,01369; 49,2957; 
187; 3,50307; 2,01679; 49,3158; 
188; 3,49578; 2,01988; 49,3355; 
189; 3,48849; 2,02294; 49,3548; 
190; 3,48122; 2,02599; 49,3738; 
191; 3,47395; 2,02902; 49,3924; 
192; 3,46669; 2,03203; 49,4106; 
193; 3,45944; 2,03502; 49,4285; 
194; 3,45219; 2,038; 49,4461; 
195; 3,44495; 2,04095; 49,4633; 
196; 3,43772; 2,04389; 49,4802; 
197; 3,4305; 2,04681; 49,4967; 
198; 3,42328; 2,04972; 49,5129; 
199; 3,41608; 2,0526; 49,5288; 
200; 3,40888; 2,05547; 49,5444; 
201; 3,40168; 2,05832; 49,5596; 
202; 3,3945; 2,06115; 49,5745; 
203; 3,38732; 2,06397; 49,5892; 
204; 3,38015; 2,06677; 49,6035; 
205; 3,37299; 2,06955; 49,6175; 
206; 3,36584; 2,07231; 49,6312; 
207; 3,35869; 2,07506; 49,6446; 
208; 3,35155; 2,07779; 49,6577; 
209; 3,34442; 2,0805; 49,6705; 
210; 3,3373; 2,0832; 49,6831; 
211; 3,33018; 2,08587; 49,6953; 
212; 3,32307; 2,08854; 49,7073; 
213; 3,31597; 2,09118; 49,719; 
214; 3,30888; 2,09381; 49,7304; 
215; 3,30179; 2,09642; 49,7416; 
216; 3,29471; 2,09901; 49,7525; 
217; 3,28764; 2,10159; 49,7631; 
218; 3,28058; 2,10415; 49,7735; 
219; 3,27352; 2,1067; 49,7836; 
220; 3,26647; 2,10923; 49,7934; 
221; 3,25943; 2,11174; 49,803; 
222; 3,2524; 2,11424; 49,8124; 
223; 3,24538; 2,11672; 49,8215; 
224; 3,23836; 2,11918; 49,8303; 
225; 3,23135; 2,12163; 49,839; 
226; 3,22435; 2,12406; 49,8473; 
227; 3,21735; 2,12648; 49,8555; 
228; 3,21036; 2,12888; 49,8634; 
229; 3,20338; 2,13127; 49,871; 
230; 3,19641; 2,13364; 49,8785; 
231; 3,18945; 2,13599; 49,8857; 
232; 3,18249; 2,13833; 49,8927; 
233; 3,17554; 2,14065; 49,8994; 
234; 3,1686; 2,14296; 49,906; 
235; 3,16167; 2,14525; 49,9123; 
236; 3,15474; 2,14752; 49,9184; 
237; 3,14782; 2,14978; 49,9243; 
238; 3,14091; 2,15203; 49,93; 
239; 3,13401; 2,15426; 49,9355; 
240; 3,12711; 2,15647; 49,9408; 
241; 3,12022; 2,15867; 49,9458; 
242; 3,11334; 2,16086; 49,9507; 
243; 3,10647; 2,16303; 49,9554; 
244; 3,0996; 2,16518; 49,9598; 
245; 3,09274; 2,16732; 49,9641; 
246; 3,08589; 2,16945; 49,9682; 
247; 3,07905; 2,17156; 49,9721; 
248; 3,07221; 2,17365; 49,9758; 
249; 3,06539; 2,17573; 49,9793; 
250; 3,05857; 2,1778; 49,9826; 
251; 3,05175; 2,17985; 49,9857; 
